"inf_0.3"	"between_0.3_and_0.7"	"between_0.7_and_1"	"gt_1"
"GLY"	4429	2202	499	905
"ALA"	4762	2447	579	724
"ARG"	1273	952	292	2017
"PHE"	2019	1391	245	623
"GLU"	1619	1504	620	3451
"THR"	2704	1785	386	971
"TYR"	1640	1217	235	542
"ASN"	1508	1157	325	1283
"LYS"	1101	996	501	3663
"SER"	2738	1795	398	1300
"ILE"	2816	1995	383	921
"HIS"	1143	674	163	584
"CYS"	864	399	50	128
"LEU"	3718	3105	691	1892
"VAL"	3756	2300	464	1059
"ASP"	1919	1714	557	1753
"PRO"	2044	1429	446	694
"GLN"	1070	955	286	1619
"TRP"	834	316	67	110
"MET"	615	387	104	525
